Time_s;THROTTLE_POS;SPEED;RPM;ENGINE_LOAD;FUEL_LEVEL;COOLANT_TEMP;MAF;ACCELERATOR_POS_D;OIL_TEMP
1555050546.9504447;49.80392156862745;6;762.25;42.745098039215684;70.98039215686275;24;10.46;25.098039215686274;16
1555050547.1115313;49.80392156862745;6;762.25;42.745098039215684;70.98039215686275;24;10.46;25.098039215686274;16
1555050547.233541;49.80392156862745;6;1120.5;27.058823529411764;70.98039215686275;24;20.400000000000002;25.098039215686274;16
1555050547.3612835;49.80392156862745;8;1120.5;27.058823529411764;70.98039215686275;24;20.400000000000002;26.666666666666668;16
1555050547.4685555;49.80392156862745;8;1120.5;27.058823529411764;70.98039215686275;24;20.400000000000002;26.666666666666668;16
1555050547.6014876;49.80392156862745;8;1120.5;27.058823529411764;70.98039215686275;24;20.400000000000002;26.666666666666668;16
1555050547.7054033;49.80392156862745;8;1117.0;43.92156862745098;70.98039215686275;24;22.37;26.666666666666668;16
1555050547.812148;49.80392156862745;10;1117.0;43.92156862745098;70.98039215686275;24;22.37;26.666666666666668;16
1555050547.9338675;49.80392156862745;10;1117.0;43.92156862745098;70.98039215686275;24;22.37;34.11764705882353;16
1555050548.036463;49.80392156862745;10;1117.0;43.92156862745098;70.98039215686275;24;22.37;34.11764705882353;16
1555050548.138698;49.80392156862745;10;1490.5;43.92156862745098;70.98039215686275;24;33.34;34.11764705882353;16
1555050548.241458;49.80392156862745;12;1490.5;49.80392156862745;70.98039215686275;24;33.34;36.86274509803921;16
1555050548.3465114;49.80392156862745;12;1490.5;49.80392156862745;70.98039215686275;24;33.34;36.86274509803921;16
1555050548.4646173;51.76470588235294;12;1490.5;49.80392156862745;70.98039215686275;24;33.34;36.86274509803921;16
1555050548.5815904;51.76470588235294;12;1785.0;49.80392156862745;70.98039215686275;24;51.21;36.86274509803921;16
1555050548.731396;51.76470588235294;15;1785.0;50.98039215686274;70.98039215686275;24;51.21;36.86274509803921;16
1555050548.8333702;51.76470588235294;15;1785.0;50.98039215686274;70.98039215686275;24;51.21;37.64705882352941;16
